document_id,entity,gold_answer,prediction
ru-10,европейцам,PER,ORG
ru-10,оппозиционные британские лейбористы,ORG,ORG
ru-10,любой сделки с Брюсселем,PRO,ORG
ru-10,Мэй,PER,ORG
ru-10,непримиримо настроена часть консерваторов,ORG,ORG
ru-10,утверждение сделки с Евросоюзом в британском парламенте,EVT,ORG
ru-10,сценарии,PRO,ORG
ru-10,экономическое,PRO,ORG
ru-10,политическое будущее Альбиона,PRO,ORG
ru-10,непредсказуемым,PER,ORG
ru-10,туманным,PER,ORG
ru-10,капризам погоды,PRO,ORG
ru-10,британцам,PER,ORG
